Index,PolicePrecinct,TV,Film,Theater,ID
69,9,1,4,0,42
0,16,11,3,0,0
43,20,9,1,1,26
113,27,18,3,0,71
49,37,8,22,0,32
105,42,20,12,0,63
67,43,12,21,0,40
106,43,27,11,0,64
47,49,28,11,0,30
73,50,30,15,0,46
101,57,41,4,0,59
62,61,17,36,0,37
103,62,43,12,0,61
63,65,16,40,0,38
46,71,27,29,3,29
45,72,57,8,0,28
121,72,43,29,0,75
42,73,50,14,0,25
100,78,35,13,0,58
52,89,36,27,1,34
123,93,67,24,0,77
61,96,24,58,0,36
48,102,63,25,0,31
110,102,61,29,1,68
115,109,65,31,0,73
122,125,64,52,0,76
112,127,77,38,1,70
50,131,78,31,0,33
66,138,86,36,0,39
41,142,26,60,0,24
107,160,111,39,1,65
60,170,58,42,0,35
75,174,115,48,0,47
34,175,91,53,0,22
68,176,64,68,0,41
81,181,84,69,0,52
32,194,105,51,2,20
109,205,130,52,0,67
25,218,104,63,0,16
111,243,156,43,0,69
71,263,127,108,0,44
44,269,153,80,5,27
120,272,163,76,1,74
77,283,122,103,1,49
102,287,186,82,0,60
40,304,217,55,0,23
23,382,214,88,13,14
28,420,209,116,22,18
24,424,211,123,3,15
33,461,257,142,22,21
72,490,223,146,0,45
30,501,292,138,0,19
83,514,292,138,0,53
79,548,221,115,0,51
26,592,315,188,3,17
70,659,227,238,1,43
104,693,499,152,0,62
17,803,376,193,4,9
7,842,302,212,5,4
76,901,467,195,2,48
22,1023,477,188,4,13
78,1058,591,282,12,50
9,1190,477,289,28,5
88,1206,409,246,316,55
19,1377,624,269,15,11
114,1607,1185,207,7,72
84,1639,599,323,3,54
20,1641,588,191,643,12
13,1781,753,315,114,7
90,1830,664,540,7,56
10,1849,942,227,112,6
5,1993,887,436,9,2
6,2068,711,370,22,3
1,2903,1151,549,159,1
14,3235,1262,433,980,8
108,3730,3167,290,0,66
18,4939,2422,573,1225,10
94,5342,4146,426,155,57
